FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
45,PN56W1,NorthSide Trail, ,Ward 1, ,648.809083692,5590.12125026,6.49095697e-07,0.00821689888838
46,PN43W5,Nashwaak Trail, ,Ward 5, ,534.978150636,4672.89750005,5.42539366e-07,0.004979783963264
47,PN56W1,NorthSide Trail, ,Ward 1, ,1763.49855181,13774.23,1.599041625e-06,0.022616069540473
48,PN56W1,NorthSide Trail, ,Ward 1, ,455.49170062,3661.51875017,4.25147218e-07,0.005736724313075
49,PN56W1,NorthSide Trail, ,Ward 1, ,1933.91513111,14832.4524994,1.722147188e-06,0.024812962955457
50,PN56W3,NorthSide Trail, ,Ward 3, ,405.475933863,3266.72499999,3.79266374e-07,0.004897967620902
51,PN56W2,NorthSide Trail, ,Ward 2, ,101.716387158,614.066038924,7.1301148e-08,0.001131882983518
52,PN56W3,NorthSide Trail, ,Ward 3, ,1028.25735658,9820.02865851,1.140129346e-06,0.01251905068304
53,PS6W8,Cambridge Crescent Park,City of Fredericton,Ward 8, ,218.32327796,2836.10499995,3.29048232e-07,0.002482936017878
54,PS62W8,Gloucester \ Bliss Carman Neighbourhood Connector, ,Ward 8, ,579.068925259,1771.15125016,2.05500948e-07,0.006025432491432
55,PN56W3,NorthSide Trail, ,Ward 3, ,71.9520184229,306.853445829,3.5625194e-08,0.000761171539185
56,PN56W4,NorthSide Trail, ,Ward 4, ,234.739091016,1948.62312927,2.2623063e-07,0.002568473096254
57,PS4W8,Boyne Court Pathway,City of Fredericton,Ward 8,Undeveloped,225.005418873,1530.88875003,1.77620641e-07,0.002307906360748
58,PS36W11,Old burial Ground, ,Ward 11, ,577.239695577,18568.2324999,2.155287475e-06,0.0065370483828
59,PS63W9,Priestman to Willingdon Neighbour Connector, ,Ward 9, ,266.155727725,1324.41250004,1.53686262e-07,0.00261157113611
60,PS37W10,Odell Park, ,Ward 10, ,1869.5099283,142225.621451,1.6508072745e-05,0.022081654072694
61,PS29W11,Lincoln Trail, ,Ward 11, ,227.596611247,1262.98375002,1.46585374e-07,0.002358678893781
62,PS64W7,Edward to Adams Neighbour Connector, ,Ward 7, ,349.665762089,1065.25874983,1.23534156e-07,0.004029511467642
63,PS37W9,Odell Park, ,Ward 9, ,6873.35670912,1434609.82472,0.000166497914339,0.077012219370261
64,PN56W3,NorthSide Trail, ,Ward 3, ,133.855079714,929.580000017,1.07925476e-07,0.001561204999653
65,PN57W3,Park Street Park, ,Ward 3, ,486.125092098,9583.89375005,1.112863663e-06,0.005290568102234
66,PN79W4,Devon Avenue Green Space, ,Ward 4, ,127.474497108,909.468750024,1.05571261e-07,0.001353713315573
67,PS38W9,Pederson Crescent Park, ,Ward 9, ,406.178692099,4907.91312695,5.69526015e-07,0.004340744272504
68,PN56W3,NorthSide Trail, ,Ward 3, ,303.781687701,844.647500122,9.8063398e-08,0.003570049950988
69,PN56W3,NorthSide Trail, ,Ward 3, ,121.338849594,819.228749935,9.5113125e-08,0.001396669682706
70,PS39W11,Queen Square, ,Ward 11, ,694.644905332,30660.2850001,3.558439789e-06,0.007691385071687
71,PS65W8,Sheffield to Forest Hill Neighbour Connector, ,Ward 8, ,216.497456469,803.599999962,9.3236531e-08,0.002558709216053
72,PS66W11,Montgomery to Gregg Neighbour Connector, ,Ward 11, ,168.666209082,729.863749887,8.4694642e-08,0.001748643235391
73,PN58W2,Randoldh Street Park, ,Ward 2, ,496.088972482,13245.5962497,1.538525788e-06,0.005665950808754
74,PS40W8,Reading Street Park, ,Ward 8, ,1613.98799904,125766.54,1.4591668378e-05,0.018128236241416
75,PN56W4,NorthSide Trail, ,Ward 4, ,150.207161284,658.735000064,7.6469908e-08,0.001656602315758
76,PN56W4,NorthSide Trail, ,Ward 4, ,148.388482884,644.813750033,7.48546e-08,0.001625372488158
77,PS41W10,Regent Street at Kings College, ,Ward 10, ,84.6526168476,363.208750033,4.2150859e-08,0.000905677008917
78,PS41W10,Regent Street at Kings College, ,Ward 10, ,280.185712392,1886.73625006,2.18956417e-07,0.002908961080888
79,PN80W3,Mullberry to Broad Neighbour Connector, ,Ward 3, ,167.413219309,488.163750093,5.6686449e-08,0.001747161125632
80,PS42W11,Regent Street park, ,Ward 11, ,222.538213244,1473.53500005,1.71010185e-07,0.002319317044502
81,PN81W3,Wiggins to Douglas Neighbour Connector, ,Ward 3, ,167.276837427,464.612500031,5.3953667e-08,0.002113116343534
82,PN59W5,River Street Green, ,Ward 5, ,1252.1397987,15503.0962506,1.800187527e-06,0.011881034436472
83,PS67W7,Piercy to Adams Neighbourhood Connector, ,Ward 7, ,168.165573675,458.54499995,5.3177558e-08,0.001643794207794
84,PS68W8,Woodridge to Topcliffe Neighbourhood Connector, ,Ward 8, ,192.059521366,440.835000024,5.1142517e-08,0.00235637185368
85,PN60W3,Riverfront North green, ,Ward 3, ,369.01770133,2112.17124965,2.45228587e-07,0.003717524304048
86,PN82W3,Wiggins to Staples Neighbourhood Connector, ,Ward 3,undeveloped - neighbour connector,150.115081878,416.191249996,4.8330929e-08,0.001806321528335
87,PS69W8,Derby to London Neighbourhood Connector, ,Ward 8, ,146.697547494,411.324999943,4.7716612e-08,0.001565729166312
88,PN60W3,Riverfront North green, ,Ward 3, ,356.264946132,2575.47499985,2.99002093e-07,0.004259159285009
89,PN83W3,Carrington to Lexington Neighbourhood Connector, ,Ward 3, ,150.109917997,409.445000093,4.7550018e-08,0.001412398595672
90,PS70W8,Folkstone to Rochester Neighbourhood Connector, ,Ward 8, ,144.83403695,392.017500023,4.5481544e-08,0.001470207801354
91,PN60W3,Riverfront North green, ,Ward 3, ,399.591773461,2785.14499994,3.23348061e-07,0.004923789000013
92,PS71W8,Topcliffe to Topcliffe Neighbourhood Connector, ,Ward 8, ,155.155560132,357.237500009,4.1444341e-08,0.001925327654621
93,PN84W1,Diamond to McGregor Neighbourhood Connector, ,Ward 1, ,162.00353213,351.624999945,4.083018e-08,0.001935810263808
94,PN60W3,Riverfront North green, ,Ward 3, ,319.108636947,6583.22375002,7.64310862e-07,0.003459814020751
95,PS72W8,Beaconsfield to Bristol Neighbourhood Connector, ,Ward 8, ,156.180915881,337.675000066,3.9172948e-08,0.001449976303424
96,PN85W3,Maple to Linden Neighbourhood Connector, ,Ward 3, ,155.641762308,325.733749868,3.7822435e-08,0.001579137177925
97,PN60W3,Riverfront North green, ,Ward 3, ,309.148517097,6735.35874985,7.8196766e-07,0.003537392507529
98,PS73W12,Castleton to Southhall Neighbourhood Connector, ,Ward 12, ,137.573459404,315.943749936,3.667152e-08,0.001737335563258
99,PS74W7,Tweedie to Pugsley Neighbourhood Connector, ,Ward 7, ,145.637248935,314.428750104,3.6475002e-08,0.001501157697515
100,PN60W3,Riverfront North green, ,Ward 3, ,1190.08966175,12584.1450001,1.461001485e-06,0.013730532588479
101,PS75W7,Vanier Ind. to Edward Neighbourhood Connector, ,Ward 7, ,111.834101264,299.72749995,3.4758628e-08,0.001284011897073
102,PS76W7,Barbara to Kimble Neighbourhood Connector, ,Ward 7, ,88.7021150937,289.407499957,3.357437e-08,0.001075373746178
103,PN60W3,Riverfront North green, ,Ward 3, ,1556.42971722,36796.8424997,4.272106722e-06,0.018645007579219
104,PS77W7,Wetmore to Bliss Neighbourhood Connector, ,Ward 7, ,140.429952647,289.186249884,3.3545367e-08,0.001609520931057
105,PN60W3,Riverfront North green, ,Ward 3, ,1320.93722057,56094.0300001,6.512607229e-06,0.014403248233352
106,PS78W8,Canterbury to Birmingham Neighbourhood Connector, ,Ward 8, ,122.517637421,270.179999999,3.1343429e-08,0.001277578337594
107,PS80W9,Willingdon to Stanley Neighbourhood Connector, ,Ward 9, ,197.639090254,255.596250073,2.9660405e-08,0.001810732495162
108,PS42W10,Riverfront South Green, ,Ward 10, ,296.90397804,5648.60750008,6.55719642e-07,0.003383110489589
109,PS81W8,Leicester to Chelsea  Neighbourhood Connector, ,Ward 8, ,140.448186804,213.314999923,2.4749307e-08,0.00128972223937
110,PS82W8,Norfolk to Liverpool Neighbourhood Connector, ,Ward 8, ,138.41063748,206.959999845,2.4010251e-08,0.001507774368946
111,PS42W10,Riverfront South Green, ,Ward 10, ,309.025027049,6512.10750018,7.559515e-07,0.003281169125921
112,PS83W8,Cambridge to Manchester Neighbourhood Connector, ,Ward 8, ,191.546953677,203.240000169,2.3579646e-08,0.001740871656392
